time,value
2025-06-05T06:49:45.346509341Z,390
2025-06-05T06:50:29.992681749Z,385
2025-06-05T06:51:59.306761911Z,386
2025-06-05T06:52:43.969969815Z,389
2025-06-05T06:53:28.633405509Z,388
2025-06-05T06:54:13.282597441Z,384
2025-06-05T06:54:57.926942061Z,387
2025-06-05T06:55:42.592072367Z,386
2025-06-05T06:56:27.245169479Z,389
2025-06-05T06:57:11.904548518Z,388
2025-06-05T06:57:56.582480159Z,387
2025-06-05T06:58:41.23067846Z,385
2025-06-05T06:59:25.897915976Z,389
2025-06-05T07:00:10.559447744Z,388
2025-06-05T07:00:55.202612369Z,385
2025-06-05T07:01:39.856589791Z,387
2025-06-05T07:02:24.522369815Z,388
2025-06-05T07:03:53.784445169Z,385
2025-06-05T07:04:38.421748302Z,388
2025-06-05T07:05:23.076361617Z,387
2025-06-05T07:06:52.353836161Z,389
2025-06-05T07:07:37.021644813Z,388
2025-06-05T07:08:21.69378832Z,392
2025-06-05T07:09:06.366383959Z,390
2025-06-05T07:09:51.015814358Z,384
2025-06-05T07:10:35.679551293Z,387
2025-06-05T07:11:20.346631937Z,385
2025-06-05T07:12:04.97934865Z,389
2025-06-05T07:12:49.629192019Z,387
2025-06-05T07:13:34.285429625Z,384
2025-06-05T07:15:03.586132204Z,386
2025-06-05T07:15:48.244219361Z,389
2025-06-05T07:16:32.919992347Z,395
2025-06-05T07:17:17.572865431Z,388
2025-06-05T07:18:02.211150444Z,384
2025-06-05T07:18:46.852342375Z,386
2025-06-05T07:19:31.52081292Z,388
2025-06-05T07:21:00.845039867Z,389
2025-06-05T07:21:45.497896881Z,386
2025-06-05T07:22:30.158002988Z,385
2025-06-05T07:23:14.827749577Z,388
2025-06-05T07:23:59.48725341Z,389
2025-06-05T07:24:44.111631267Z,385
2025-06-05T07:25:28.78215142Z,392
2025-06-05T07:26:13.450919403Z,384
2025-06-05T07:26:58.110236268Z,386
2025-06-05T07:27:42.748803888Z,384
2025-06-05T07:28:27.415029376Z,395
2025-06-05T07:29:12.078430212Z,389
2025-06-05T07:29:56.726034048Z,387
2025-06-05T07:30:41.387531855Z,389
2025-06-05T07:31:26.050418672Z,388
2025-06-05T07:32:10.705874096Z,395
2025-06-05T07:32:55.356174651Z,384
2025-06-05T07:34:24.668460546Z,386
2025-06-05T07:35:09.337827833Z,387
2025-06-05T07:35:53.982139531Z,385
2025-06-05T07:36:38.631177794Z,386
2025-06-05T07:37:23.286212966Z,385
2025-06-05T07:38:07.953470255Z,387
2025-06-05T07:38:52.614585269Z,390
2025-06-05T07:39:37.279803259Z,387
2025-06-05T07:40:21.933146019Z,386
2025-06-05T07:41:06.610672172Z,384
2025-06-05T07:41:51.25883634Z,385
2025-06-05T07:42:35.926274805Z,386
2025-06-05T07:43:20.564040045Z,385
2025-06-05T07:44:05.239074314Z,388
2025-06-05T07:44:49.894404486Z,386
2025-06-05T07:45:34.560192859Z,383
2025-06-05T07:46:19.215468755Z,384
2025-06-05T07:47:03.878681128Z,388
2025-06-05T07:47:48.54288215Z,386
2025-06-05T07:48:33.209737136Z,385
2025-06-05T07:49:17.867593799Z,389
2025-06-05T07:50:02.542877628Z,391
2025-06-05T07:50:47.193085894Z,384
2025-06-05T07:51:31.817992257Z,385
2025-06-05T07:53:01.12373543Z,389
2025-06-05T07:53:45.783570775Z,384
2025-06-05T07:54:30.433641769Z,387
2025-06-05T07:55:15.107250693Z,389
2025-06-05T07:55:59.762233342Z,391
2025-06-05T07:56:44.409294352Z,388
2025-06-05T07:57:29.083591707Z,387
2025-06-05T07:58:13.749660656Z,384
2025-06-05T07:58:58.404011399Z,387
2025-06-05T07:59:43.056873779Z,385
2025-06-05T08:00:27.726672789Z,388
2025-06-05T08:01:12.396779501Z,386
2025-06-05T08:01:57.064011938Z,389
2025-06-05T08:02:41.715548617Z,387
2025-06-05T08:04:11.002371327Z,388
2025-06-05T08:04:55.665655553Z,389
2025-06-05T08:05:40.315631661Z,386
2025-06-05T08:06:24.975528544Z,387
2025-06-05T08:07:09.653565267Z,388
2025-06-05T08:07:54.320650065Z,393
2025-06-05T08:08:38.981598842Z,387
2025-06-05T08:09:23.636986907Z,386
2025-06-05T08:10:52.954724549Z,385
2025-06-05T08:12:22.265332926Z,391
2025-06-05T08:13:06.939930766Z,384
2025-06-05T08:13:51.616546071Z,387
2025-06-05T08:14:36.251809762Z,389
2025-06-05T08:15:20.901065617Z,384
2025-06-05T08:16:05.570025255Z,388
2025-06-05T08:16:50.240023617Z,393
2025-06-05T08:17:34.902298509Z,386
2025-06-05T08:18:19.55665916Z,387
2025-06-05T08:19:04.22616726Z,388
2025-06-05T08:20:33.532093008Z,385
2025-06-05T08:21:18.190535602Z,388
2025-06-05T08:22:02.841875236Z,386
2025-06-05T08:22:47.494983485Z,388
2025-06-05T08:23:32.159828993Z,393
2025-06-05T08:24:16.826182368Z,388
2025-06-05T08:25:01.496047311Z,385
2025-06-05T08:25:46.147520392Z,386
2025-06-05T08:26:30.811094663Z,385
2025-06-05T08:28:00.100465315Z,387
2025-06-05T08:28:44.745937204Z,388
2025-06-05T08:29:29.390127973Z,384
2025-06-05T08:30:14.042676546Z,385
2025-06-05T08:30:58.689172929Z,387
2025-06-05T08:31:43.49663854Z,386
2025-06-05T08:32:28.16164766Z,384
2025-06-05T08:33:12.812323955Z,385
2025-06-05T08:33:57.507243519Z,384
2025-06-05T08:34:42.149084209Z,386
2025-06-05T08:35:26.802198907Z,387
2025-06-05T08:36:11.449071407Z,384
2025-06-05T08:36:56.122411984Z,387
2025-06-05T08:37:40.795572372Z,385
2025-06-05T08:39:10.115688768Z,386
2025-06-05T08:39:54.790275995Z,388
2025-06-05T08:40:39.457418299Z,393
2025-06-05T08:41:24.11898269Z,384
2025-06-05T08:42:53.413037009Z,386
2025-06-05T08:43:38.064644192Z,384
2025-06-05T08:44:22.693247792Z,387
2025-06-05T08:45:07.352376128Z,385
2025-06-05T08:45:52.007224277Z,387
2025-06-05T08:46:36.659060369Z,384
2025-06-05T08:47:21.32294812Z,389
2025-06-05T08:48:05.956004676Z,384
2025-06-05T08:50:19.879875125Z,385
2025-06-05T08:51:04.545884614Z,387
2025-06-05T08:51:49.216467121Z,394
2025-06-05T08:52:33.886223149Z,387
2025-06-05T08:54:03.183700604Z,389
2025-06-05T08:54:47.838557546Z,385
2025-06-05T08:55:32.502549084Z,386
2025-06-05T08:56:17.167873937Z,388
2025-06-05T08:57:01.842519807Z,386
2025-06-05T08:57:46.505486666Z,387
2025-06-05T08:58:31.182886843Z,391
2025-06-05T08:59:15.841140806Z,389
2025-06-05T09:00:00.49039188Z,392
2025-06-05T09:00:45.143242405Z,389
2025-06-05T09:01:29.791337623Z,387
2025-06-05T09:02:14.41725695Z,386
2025-06-05T09:03:43.737004813Z,385
2025-06-05T09:04:28.384368695Z,386
2025-06-05T09:05:13.044260748Z,390
2025-06-05T09:05:57.706454084Z,386
2025-06-05T09:07:27.020487566Z,385
2025-06-05T09:08:11.729410694Z,395
2025-06-05T09:08:56.351133301Z,387
2025-06-05T09:09:41.023734488Z,394
2025-06-05T09:10:25.712182058Z,392
2025-06-05T09:11:10.358269878Z,395
2025-06-05T09:11:55.016514874Z,385
2025-06-05T09:13:24.327002434Z,392
2025-06-05T09:14:08.992197534Z,384
2025-06-05T09:14:53.652940774Z,385
2025-06-05T09:15:38.33516007Z,392
2025-06-05T09:16:22.971707658Z,394
2025-06-05T09:17:07.634480172Z,385
2025-06-05T09:17:52.271597917Z,384
2025-06-05T09:18:36.920694963Z,385
2025-06-05T09:20:50.863170551Z,384
2025-06-05T09:21:35.531914263Z,395
2025-06-05T09:22:20.186710674Z,384
2025-06-05T09:23:04.831529115Z,392
2025-06-05T09:23:49.492626493Z,383
2025-06-05T09:24:34.159565856Z,387
2025-06-05T09:25:18.828560955Z,386
2025-06-05T09:26:03.485136858Z,384
2025-06-05T09:26:48.15798002Z,382
2025-06-05T09:27:32.82378246Z,385
2025-06-05T09:28:17.47511487Z,390
2025-06-05T09:29:02.128923538Z,383
2025-06-05T09:29:46.791514582Z,388
2025-06-05T09:30:31.432000021Z,384
2025-06-05T09:31:16.088560251Z,386
2025-06-05T09:32:00.74145691Z,388
2025-06-05T09:32:45.407831656Z,384
2025-06-05T09:33:30.057001481Z,386
2025-06-05T09:34:14.719880977Z,384
2025-06-05T09:34:59.37923188Z,386
2025-06-05T09:35:44.041065449Z,385
2025-06-05T09:37:13.373435559Z,393
2025-06-05T09:37:58.004525483Z,390
2025-06-05T09:38:42.669706694Z,387
2025-06-05T09:39:27.319933674Z,388
2025-06-05T09:40:11.977852644Z,393
2025-06-05T09:40:56.637014531Z,385
2025-06-05T09:43:55.224679299Z,384
2025-06-05T09:44:39.882614172Z,386
2025-06-05T09:46:09.200799604Z,388
2025-06-05T09:46:53.859098914Z,385
2025-06-05T09:47:38.524536238Z,387
2025-06-05T09:49:07.840071331Z,385
2025-06-05T09:49:52.512573005Z,384
2025-06-05T09:50:37.169483006Z,386
2025-06-05T09:51:21.837797707Z,387
2025-06-05T09:52:06.508881753Z,385
2025-06-05T09:52:51.167501726Z,387
2025-06-05T09:53:35.804648328Z,384
2025-06-05T09:54:20.46071341Z,387
2025-06-05T09:55:05.127663593Z,385
2025-06-05T09:55:49.79660226Z,384
2025-06-05T09:56:34.452316606Z,385
2025-06-05T09:57:19.115601909Z,392
2025-06-05T09:58:03.792514802Z,385
2025-06-05T09:58:48.453332154Z,386
2025-06-05T09:59:33.099697831Z,384
2025-06-05T10:00:17.773335444Z,388
2025-06-05T10:01:02.423099401Z,386
2025-06-05T10:02:31.707971712Z,384
2025-06-05T10:03:16.361087092Z,387
2025-06-05T10:04:01.02130924Z,384
2025-06-05T10:06:59.533111544Z,392
2025-06-05T10:07:44.190920266Z,386
2025-06-05T10:08:28.814608726Z,383
2025-06-05T10:09:13.457806482Z,386
2025-06-05T10:09:58.110726138Z,387
2025-06-05T10:10:42.769661179Z,384
2025-06-05T10:12:12.033280378Z,385
2025-06-05T10:12:56.6930353Z,386
2025-06-05T10:13:41.338241459Z,384
2025-06-05T10:14:26.005544502Z,386
2025-06-05T10:15:10.642388189Z,394
2025-06-05T10:15:55.313094138Z,386
2025-06-05T10:16:39.980666531Z,385
2025-06-05T10:17:24.707979016Z,388
2025-06-05T10:18:09.280630949Z,389
2025-06-05T10:18:53.946339978Z,387
2025-06-05T10:19:38.607483607Z,390
2025-06-05T10:20:23.254142291Z,385
2025-06-05T10:21:07.9208201Z,393
2025-06-05T10:21:52.587129916Z,386
2025-06-05T10:22:37.231244169Z,384
2025-06-05T10:23:21.882513072Z,387
2025-06-05T10:24:51.171801341Z,392
2025-06-05T10:25:35.830091169Z,386
2025-06-05T10:27:05.094456757Z,384
