time,value
2025-06-05T06:50:49.368889585Z,361
2025-06-05T06:51:34.021975938Z,362
2025-06-05T06:52:18.689291661Z,361
2025-06-05T06:53:03.349476997Z,362
2025-06-05T06:54:32.659903658Z,367
2025-06-05T06:55:17.31051533Z,363
2025-06-05T06:56:01.956622947Z,362
2025-06-05T06:56:46.617545099Z,361
2025-06-05T06:57:31.284179161Z,363
2025-06-05T06:58:15.947751416Z,368
2025-06-05T06:59:00.61068548Z,363
2025-06-05T06:59:45.271486268Z,364
2025-06-05T07:00:29.937250611Z,370
2025-06-05T07:01:14.587256568Z,364
2025-06-05T07:01:59.232958529Z,363
2025-06-05T07:03:28.497708227Z,364
2025-06-05T07:05:42.464022035Z,363
2025-06-05T07:06:27.085889949Z,364
2025-06-05T07:07:11.742085631Z,363
2025-06-05T07:07:56.401536865Z,367
2025-06-05T07:08:41.068107877Z,365
2025-06-05T07:09:25.734440888Z,366
2025-06-05T07:10:10.400409973Z,367
2025-06-05T07:10:55.097293371Z,366
2025-06-05T07:12:24.360220723Z,365
2025-06-05T07:13:53.666027688Z,366
2025-06-05T07:14:38.296974442Z,365
2025-06-05T07:15:22.964557586Z,366
2025-06-05T07:16:07.63002572Z,364
2025-06-05T07:16:52.286036327Z,365
2025-06-05T07:17:36.938680737Z,366
2025-06-05T07:18:21.584986599Z,367
2025-06-05T07:19:06.235758726Z,365
2025-06-05T07:19:50.904471309Z,367
2025-06-05T07:20:35.552613844Z,368
2025-06-05T07:21:20.219425027Z,367
2025-06-05T07:22:04.873729996Z,366
2025-06-05T07:22:49.538078627Z,368
2025-06-05T07:23:34.20118827Z,367
2025-06-05T07:25:03.496760965Z,365
2025-06-05T07:25:48.155583086Z,367
2025-06-05T07:26:32.81896947Z,368
2025-06-05T07:27:17.49057847Z,366
2025-06-05T07:28:02.135848541Z,368
2025-06-05T07:28:46.796417784Z,367
2025-06-05T07:29:31.450741618Z,368
2025-06-05T07:30:16.106523907Z,367
2025-06-05T07:31:00.767011713Z,368
2025-06-05T07:31:45.430510371Z,367
2025-06-05T07:33:14.735507165Z,370
2025-06-05T07:33:59.385438807Z,366
2025-06-05T07:34:44.046155102Z,369
2025-06-05T07:36:58.018672211Z,368
2025-06-05T07:37:42.661686231Z,367
2025-06-05T07:38:27.382925038Z,369
2025-06-05T07:39:11.994211818Z,368
2025-06-05T07:39:56.6648295Z,369
2025-06-05T07:40:41.312338262Z,368
2025-06-05T07:42:10.637630568Z,370
2025-06-05T07:43:39.942472634Z,369
2025-06-05T07:44:24.607609913Z,370
2025-06-05T07:45:09.273487226Z,369
2025-06-05T07:46:38.593806012Z,370
2025-06-05T07:47:23.251587522Z,368
2025-06-05T07:48:07.920795066Z,369
2025-06-05T07:48:52.5984929Z,376
2025-06-05T07:49:37.246587691Z,369
2025-06-05T07:51:06.561714572Z,371
2025-06-05T07:52:35.837774939Z,369
2025-06-05T07:53:20.50168917Z,371
2025-06-05T07:54:05.17450906Z,369
2025-06-05T07:54:49.819497689Z,376
2025-06-05T07:55:34.484827118Z,369
2025-06-05T07:57:03.791437773Z,371
2025-06-05T07:57:48.468840798Z,372
2025-06-05T07:58:33.130064088Z,371
2025-06-05T08:00:02.432653012Z,372
2025-06-05T08:00:47.106828551Z,371
2025-06-05T08:01:31.774419207Z,372
2025-06-05T08:02:16.440232983Z,371
2025-06-05T08:03:01.100975361Z,378
2025-06-05T08:04:30.384992419Z,371
2025-06-05T08:05:59.704000536Z,370
2025-06-05T08:06:44.359762738Z,373
2025-06-05T08:07:29.027130312Z,372
2025-06-05T08:08:13.706875231Z,370
2025-06-05T08:08:58.352318788Z,372
2025-06-05T08:09:43.019497429Z,379
2025-06-05T08:11:12.324455623Z,371
2025-06-05T08:11:56.977132156Z,372
2025-06-05T08:12:41.66348692Z,378
2025-06-05T08:13:26.322800748Z,371
2025-06-05T08:15:40.288649703Z,374
2025-06-05T08:16:24.957651731Z,372
2025-06-05T08:17:09.611802399Z,374
2025-06-05T08:17:54.277405198Z,371
2025-06-05T08:18:38.943997264Z,373
2025-06-05T08:20:08.245548927Z,372
2025-06-05T08:20:52.907596001Z,373
2025-06-05T08:21:37.573988378Z,380
2025-06-05T08:22:22.230488543Z,381
2025-06-05T08:23:06.874877528Z,380
2025-06-05T08:23:51.536718295Z,374
2025-06-05T08:24:36.210133635Z,373
2025-06-05T08:26:05.52185293Z,374
2025-06-05T08:26:50.189527856Z,373
2025-06-05T08:29:04.100031703Z,375
2025-06-05T08:29:48.771080062Z,374
