time,value
2025-06-05T06:49:36.093758912Z,352
2025-06-05T06:50:20.74471261Z,358
2025-06-05T06:51:05.411511344Z,347
2025-06-05T06:51:50.063208025Z,346
2025-06-05T06:52:34.720436976Z,350
2025-06-05T06:53:19.387039824Z,348
2025-06-05T06:54:04.036553997Z,349
2025-06-05T06:55:33.327767486Z,348
2025-06-05T06:56:17.998119343Z,349
2025-06-05T06:57:02.660945944Z,347
2025-06-05T06:57:47.323095954Z,348
2025-06-05T06:58:31.980907964Z,350
2025-06-05T06:59:16.645880766Z,349
2025-06-05T07:00:01.33792246Z,348
2025-06-05T07:02:15.276001473Z,350
2025-06-05T07:04:29.172555893Z,347
2025-06-05T07:05:13.827512428Z,350
2025-06-05T07:05:58.479318084Z,349
2025-06-05T07:06:43.110981031Z,348
2025-06-05T07:07:27.77297892Z,351
2025-06-05T07:08:12.445136076Z,349
2025-06-05T07:08:57.115605762Z,350
2025-06-05T07:09:41.774768752Z,349
2025-06-05T07:10:26.432601236Z,347
2025-06-05T07:11:11.096916455Z,351
2025-06-05T07:11:55.734909397Z,348
2025-06-05T07:13:25.035320539Z,351
2025-06-05T07:14:09.690853786Z,349
2025-06-05T07:14:54.340151085Z,347
2025-06-05T07:15:39.002286102Z,349
2025-06-05T07:16:23.664196765Z,348
2025-06-05T07:17:08.323517145Z,347
2025-06-05T07:17:52.967988954Z,350
2025-06-05T07:18:37.606595376Z,349
2025-06-05T07:19:22.273143095Z,352
2025-06-05T07:20:06.94281381Z,350
2025-06-05T07:20:51.599516636Z,348
2025-06-05T07:22:20.90936974Z,350
2025-06-05T07:23:05.57715331Z,349
2025-06-05T07:23:50.239824019Z,350
2025-06-05T07:24:34.867930121Z,346
2025-06-05T07:25:19.531884136Z,351
2025-06-05T07:26:04.196653487Z,348
2025-06-05T07:26:48.865432913Z,350
2025-06-05T07:28:18.167450607Z,347
2025-06-05T07:29:02.822259134Z,348
2025-06-05T07:30:32.143397232Z,349
2025-06-05T07:31:16.807589879Z,350
2025-06-05T07:32:01.457541353Z,348
2025-06-05T07:32:46.160503712Z,349
2025-06-05T07:33:30.777360434Z,353
2025-06-05T07:34:15.420634776Z,352
2025-06-05T07:35:00.083790803Z,350
2025-06-05T07:35:44.739098686Z,346
2025-06-05T07:36:29.387763402Z,348
2025-06-05T07:37:58.702334111Z,346
2025-06-05T07:38:43.369051035Z,347
2025-06-05T07:39:28.042635395Z,348
2025-06-05T07:40:12.681740613Z,352
2025-06-05T07:40:57.358376012Z,353
2025-06-05T07:41:42.014367819Z,350
2025-06-05T07:42:26.684602216Z,348
2025-06-05T07:43:11.326942542Z,350
2025-06-05T07:43:55.983946809Z,348
2025-06-05T07:44:40.650456901Z,349
2025-06-05T07:45:25.316192725Z,355
2025-06-05T07:46:09.963272722Z,346
2025-06-05T07:46:54.629427267Z,352
2025-06-05T07:47:39.30091681Z,354
2025-06-05T07:48:23.971533747Z,351
2025-06-05T07:49:08.616549705Z,347
2025-06-05T07:49:53.294204206Z,349
2025-06-05T07:50:37.92960882Z,351
2025-06-05T07:51:22.570937329Z,348
2025-06-05T07:52:07.219604361Z,349
2025-06-05T07:52:51.872917177Z,347
2025-06-05T07:53:36.53285919Z,350
2025-06-05T07:54:21.189651692Z,348
2025-06-05T07:55:05.867082558Z,349
2025-06-05T07:56:35.164427504Z,347
2025-06-05T07:57:19.853841565Z,350
2025-06-05T07:58:04.504725565Z,348
2025-06-05T07:58:49.159689813Z,350
2025-06-05T07:59:33.810923447Z,348
2025-06-05T08:00:18.501411272Z,349
2025-06-05T08:01:03.144500049Z,347
2025-06-05T08:01:47.813840069Z,350
2025-06-05T08:02:32.473458546Z,349
2025-06-05T08:03:17.122961412Z,348
2025-06-05T08:04:01.753339526Z,352
2025-06-05T08:04:46.415414569Z,351
2025-06-05T08:05:31.069652128Z,349
2025-06-05T08:06:15.731990447Z,353
2025-06-05T08:07:00.3971663Z,350
2025-06-05T08:07:45.067331147Z,346
2025-06-05T08:08:29.734288576Z,348
2025-06-05T08:09:14.391528183Z,350
2025-06-05T08:09:59.054975239Z,351
2025-06-05T08:10:43.701288398Z,348
2025-06-05T08:11:28.369779278Z,350
2025-06-05T08:12:13.018982959Z,348
2025-06-05T08:12:57.693825637Z,347
2025-06-05T08:13:42.366641309Z,346
2025-06-05T08:14:27.009524824Z,349
2025-06-05T08:15:11.654355742Z,350
2025-06-05T08:15:56.320775283Z,347
2025-06-05T08:16:40.99322396Z,348
2025-06-05T08:17:25.658332006Z,351
2025-06-05T08:18:10.31349842Z,350
2025-06-05T08:18:54.974887663Z,349
2025-06-05T08:19:39.63212816Z,348
2025-06-05T08:20:24.288834813Z,349
2025-06-05T08:21:08.94819856Z,350
2025-06-05T08:22:38.246276767Z,348
2025-06-05T08:23:22.914356036Z,351
2025-06-05T08:24:07.578864227Z,354
2025-06-05T08:24:52.257522849Z,351
2025-06-05T08:25:36.901064785Z,348
2025-06-05T08:26:21.568147934Z,351
2025-06-05T08:27:06.228796548Z,349
2025-06-05T08:28:35.482845438Z,347
2025-06-05T08:29:20.144792299Z,351
2025-06-05T08:30:04.793810755Z,348
2025-06-05T08:30:49.440066407Z,349
2025-06-05T08:32:18.915825406Z,358
2025-06-05T08:33:03.605135835Z,348
2025-06-05T08:33:48.232780943Z,345
2025-06-05T08:34:32.897788508Z,350
2025-06-05T08:36:02.204849923Z,347
2025-06-05T08:36:46.873710272Z,349
2025-06-05T08:37:31.543757654Z,353
2025-06-05T08:38:16.217963065Z,350
2025-06-05T08:39:00.869212707Z,348
2025-06-05T08:39:45.539758905Z,349
2025-06-05T08:40:30.209549962Z,355
2025-06-05T08:41:14.877285214Z,351
2025-06-05T08:41:59.53658955Z,350
2025-06-05T08:42:44.166478799Z,349
2025-06-05T08:44:13.450440046Z,350
2025-06-05T08:44:58.108916643Z,348
2025-06-05T08:46:27.409015632Z,355
2025-06-05T08:47:12.082885213Z,350
2025-06-05T08:49:26.019886098Z,353
2025-06-05T08:50:10.635813889Z,354
2025-06-05T08:50:55.299980673Z,349
2025-06-05T08:51:39.965412701Z,350
2025-06-05T08:52:24.6724809Z,355
2025-06-05T08:53:09.308818903Z,347
2025-06-05T08:53:53.95712426Z,355
2025-06-05T08:54:38.598699967Z,350
2025-06-05T08:55:23.250198535Z,351
2025-06-05T08:56:07.923045788Z,356
2025-06-05T08:56:52.5901113Z,348
2025-06-05T08:57:37.270605559Z,351
2025-06-05T08:58:21.929752652Z,350
2025-06-05T08:59:06.605089191Z,349
2025-06-05T08:59:51.243081752Z,351
2025-06-05T09:00:35.901129902Z,349
2025-06-05T09:02:05.172001185Z,350
2025-06-05T09:02:49.834689405Z,348
2025-06-05T09:03:34.498479646Z,354
